Time ms,AlphaAbs1,AlphaAbs2,AlphaAbs3,AlphaAbs4
64301,0.539986459,-0.174239465,-0.284426583,-0.077005865
64368,0.542705011,-0.216767442,-0.284426583,-0.090864822
64510,0.542705011,-0.262873643,-0.275496067,-0.125372342
64589,0.542705011,-0.300130308,-0.226908359,-0.125372342
64676,0.542705011,-0.330715704,-0.191108162,-0.125372342
64819,0.414626278,-0.371405331,-0.161410283,-0.125372342
64877,0.256172843,-0.430762662,-0.144171381,-0.125372342
64961,0.166475172,-0.497465316,-0.134899653,-0.125372342
65104,0.140981712,-0.57874858,-0.145202215,-0.224082437
65184,0.135925039,-0.640802088,-0.162400988,-0.251468516
65325,0.115394944,-0.654331182,-0.162400988,-0.251468516
65402,0.115394944,-0.658727227,-0.162400988,-0.251468516
65490,0.115394944,-0.669807329,-0.162400988,-0.251468516
65631,0.115394944,-0.675234615,-0.131029259,-0.251468516
65685,0.115394944,-0.679591684,-0.105031196,-0.251468516
65788,0.115394944,-0.614969741,-0.067378559,-0.251468516
65934,0.115394944,-0.4852236,-0.047834256,-0.251468516
65968,0.115394944,-0.404268505,-0.047834256,-0.251468516
66127,0.115394944,-0.377483589,-0.047834256,-0.251468516
66181,0.115394944,-0.373528299,-0.047834256,-0.251468516
66283,0.115394944,-0.373517619,-0.054204362,-0.251468516
66403,0.115394944,-0.35311028,-0.064764259,-0.251468516
66502,0.115394944,-0.328996508,-0.088664276,-0.251468516
66559,0.115394944,-0.309018668,-0.115926687,-0.251468516
66703,0.115394944,-0.281080166,-0.150268722,-0.251468516
66779,0.115394944,-0.281080166,-0.15765195,-0.251468516
66852,0.115394944,-0.281080166,-0.16747347,-0.251468516
67014,0.115394944,-0.281080166,-0.173635261,-0.251468516
67068,0.115394944,-0.281080166,-0.188561325,-0.251468516
67233,0.115394944,-0.281080166,-0.188561325,-0.251468516
67288,0.115394944,-0.281080166,-0.188561325,-0.251468516
67384,0.115394944,-0.281080166,-0.188561325,-0.251468516
67502,0.115394944,-0.281080166,-0.188561325,-0.251468516
67604,0.115394944,-0.290324316,-0.188561325,-0.251468516
67656,0.115394944,-0.290324316,-0.188561325,-0.251468516
67800,0.115394944,-0.290324316,-0.188561325,-0.251468516
67896,0.115394944,-0.290324316,-0.188561325,-0.251468516
67949,0.115394944,-0.290324316,-0.188561325,-0.251468516
68092,0.115394944,-0.290324316,-0.188561325,-0.251468516
68211,0.115394944,-0.290324316,-0.271259494,-0.251468516
68334,0.115394944,-0.290324316,-0.271259494,-0.251468516
68389,0.115394944,-0.03439975,-0.271259494,-0.251468516
68470,0.115394944,-0.030485162,-0.271259494,-0.024980139
