Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
7395,0.861969699,0.832360053,0.825780132,0.838939975,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7496,0.876774523,0.825780132,0.804395387,0.835650014,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7614,0.893224326,0.840584955,0.81591025,0.838939975,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7715,0.878419503,0.838939975,0.81426527,0.838939975,0.012879112,0.120889457,-0.62507013,-0.681230094,0.053873142,-0.196391435,-0.530156931,-0.602814925,0.249524923,1.037161666,-0.348033883,1.127809816,-0.140110712,-0.885153536,-0.594157624,-0.77466588,-0.140110712,-0.885153536,-0.594157624,-0.77466588,1,1,1,1
7773,0.881709464,0.829070093,0.809330329,0.834005034,0.012879112,0.120889457,-0.128632674,-0.681230094,0.053873142,-0.196391435,0.003008164,-0.602814925,0.249524923,1.037161666,-0.263860894,1.127809816,-0.140110712,-0.885153536,0.025295955,-0.77466588,-0.140110712,-0.885153536,0.025295955,-0.77466588,1,1,1,1
7920,0.886644405,0.837294994,0.807685348,0.835650014,0.012879112,-0.287351974,-0.089785007,-0.681230094,0.053873142,-0.420235096,0.029131385,-0.602814925,0.249524923,0.094654131,-0.215159241,1.127809816,-0.140110712,-0.376570633,0.021791236,-0.77466588,-0.140110712,-0.376570633,0.021791236,-0.77466588,1,1,1,1
7999,0.898159267,0.838939975,0.807685348,0.830715073,0.012879112,-0.276008292,-0.085629322,-0.681230094,0.053873142,-0.427185323,0.049214014,-0.602814925,0.249524923,0.084907962,-0.19933896,1.127809816,-0.140110712,-0.394223675,0.025853463,-0.77466588,-0.140110712,-0.394223675,0.025853463,-0.77466588,1,1,1,1
8063,0.896514287,0.842229935,0.81426527,0.827425112,0.070153358,-0.266807141,-0.085629322,-0.61981446,-0.133727838,-0.416657635,0.056681807,-0.618249125,0.429210375,0.096645277,-0.210121024,-0.304276189,-0.459682782,-0.408140637,0.028421482,-0.600533254,-0.459682782,-0.408140637,0.028421482,-0.600533254,1,1,1,1
8215,0.927768913,0.855389778,0.807685348,0.830715073,0.087704892,-0.266807141,-0.085629322,-0.599101306,-0.105693609,-0.393229169,0.050419066,-0.647251276,0.433045419,0.118531847,-0.233759815,-0.325890776,-0.466437496,-0.422734088,0.024914107,-0.623448301,-0.466437496,-0.422734088,0.024914107,-0.623448301,1,1,1,1
8313,0.935993815,0.850454837,0.812620289,0.837294994,0.106890078,-0.263754974,-0.085629322,-0.599101306,-0.076639784,-0.367770152,0.033336262,-0.66674263,0.429007806,0.141492403,-0.259183702,-0.350711202,-0.462448478,-0.44193247,0.016860651,-0.637916171,-0.462448478,-0.44193247,0.016860651,-0.637916171,1,1,1,1
